county,teachers
Halifax,2
Granville,3
Alamance,6
Durham,21
Wilson,2
Mecklenburg,27
Wake,24
Harnett,4
Ashe,2
McDowell,2
Forsyth,17
Orange,5
Macon,3
Hoke,2
Cabarrus,13
Cumberland,4
Buncombe,1
Guilford,6
New Hanover,4
Craven,2
Bladen,1
Gaston,2
Jackson,1
Moore,4
Vance,1
Catawba,4
Franklin,2
Rowan,3
Alexander,2
Union,2
Currituck,1
Scotland,2
Chatham,2
Lincoln,3
Lenoir,3
Iredell,2
Pitt,1
Madison,1
Henderson,1
Person,1
Lee,1
Brunswick,2
Davidson,1
Pender,1
Stanly,1
Sampson,2
Pasquotank,1
Surry,2
Onslow,1
Beaufort,1
Randolph,1
Edgecombe,1
Nash,1
Stokes,1
Richmond,1
Johnston,1
